,DK,E,NL
Situatie A,Slash36 heeft inmiddels vier grote ziekenhuizen als klant. Dan krijgt het bedrijf een aanvraag van de gemeente Helmond. ,Slash36 heeft inmiddels vier grote ziekenhuizen als klant. Dan krijgt het bedrijf een aanvraag van de gemeente Helmond. ,Slash36 heeft inmiddels vier grote ziekenhuizen als klant. Dan krijgt het bedrijf een aanvraag van de gemeente Helmond. 
Vraag,"Geef aan hoe het bedrijf moet reageren, en waarom","Geef aan hoe het bedrijf moet reageren, en waarom","Geef aan hoe het bedrijf moet reageren, en waarom"
Antwoord,"10 punten wanneer het team heeft geantwoord dat Slash36 deze aanvraag moet afwijzen, vanwege 1) niet de doelgroep, 2) geen ervaring met deze sector of 3) geen capaciteit","10 punten wanneer het team heeft geantwoord dat Slash36 deze aanvraag moet afwijzen, vanwege 1) niet de doelgroep, 2) geen ervaring met deze sector of 3) geen capaciteit","10 punten wanneer het team heeft geantwoord dat Slash36 deze aanvraag moet afwijzen, vanwege 1) niet de doelgroep, 2) geen ervaring met deze sector of 3) geen capaciteit"
,,,
Situatie B,"Roamler verplaatst zich in het inkooportfolio van haar klanten, om die op de juiste manier te kunnen benaderen.","Roamler verplaatst zich in het inkooportfolio van haar klanten, om die op de juiste manier te kunnen benaderen.","Roamler verplaatst zich in het inkooportfolio van haar klanten, om die op de juiste manier te kunnen benaderen."
Vraag,Waar in het inkoopportfolio zullen klanten het product van Roamler plaatsen? Waarom? Is dat de meest wenselijke positie?,Waar in het inkoopportfolio zullen klanten het product van Roamler plaatsen? Waarom? Is dat de meest wenselijke positie?,Waar in het inkoopportfolio zullen klanten het product van Roamler plaatsen? Waarom? Is dat de meest wenselijke positie?
Antwoord,Je krijgt in totaal 20 punten als de twee vragen met goede argumenten worden beantwoord.,Je krijgt in totaal 20 punten als de twee vragen met goede argumenten worden beantwoord.,Je krijgt in totaal 20 punten als de twee vragen met goede argumenten worden beantwoord.
,,,
Situatie C,De inkoper van een grote klant dreigt met een make-or-buy beslissing.,De inkoper van een grote klant dreigt met een make-or-buy beslissing.,De inkoper van een grote klant dreigt met een make-or-buy beslissing.
Vraag,Geef aan in hoeverre dit een bedreiging is.,Geef aan in hoeverre dit een bedreiging is.,Geef aan in hoeverre dit een bedreiging is.
Antwoord,5 punten voor een antwoord.,5 punten voor een antwoord.,5 punten voor een antwoord.
,,,
Situatie D,"Men voert een DESTEP-analyse uit, om te bepalen welke trends en ontwikkelingen relevant zijn voor het bedrijf en de bedrijfstak.
","Men voert een DESTEP-analyse uit, om te bepalen welke trends en ontwikkelingen relevant zijn voor het bedrijf en de bedrijfstak.
","Men voert een DESTEP-analyse uit, om te bepalen welke trends en ontwikkelingen relevant zijn voor het bedrijf en de bedrijfstak.
"
Vraag,"Welke drie elementen uit de DESTEP zijn het meest relevant?
","Welke drie elementen uit de DESTEP zijn het meest relevant?
","Welke drie elementen uit de DESTEP zijn het meest relevant?
"
Antwoord,5 punten per element,5 punten per element,5 punten per element
,,,
Situatie E,"Besteed ca. 15 minuten aan het tekenen en beschrijven van een typische klantreis in LUNAR. Begin de reis met de klant Erik die mailt om een goede prijs te vragen voor 200 elektriciteitskasten. 

Maak een stap-voor-stap reis die het volgende laat zien:
Welke fasen doorloopt Erik van begin tot eind in het kooptraject? Welke communicatie ontvangt Erik in elke fase? Wat zal Erik waarschijnlijk ervaren in elke fase (bijv. tevredenheid, verwarring)? Met welke afdelingen is Erik in gesprek?
","Besteed ca. 15 minuten aan het tekenen en beschrijven van een typische klantreis in LUNAR. Begin de reis met de klant Erik die mailt om een goede prijs te vragen voor 200 elektriciteitskasten. 

Maak een stap-voor-stap reis die het volgende laat zien:
Welke fasen doorloopt Erik van begin tot eind in het kooptraject? Welke communicatie ontvangt Erik in elke fase? Wat zal Erik waarschijnlijk ervaren in elke fase (bijv. tevredenheid, verwarring)? Met welke afdelingen is Erik in gesprek?
","Besteed ca. 15 minuten aan het tekenen en beschrijven van een typische klantreis in LUNAR. Begin de reis met de klant Erik die mailt om een goede prijs te vragen voor 200 elektriciteitskasten. 

Maak een stap-voor-stap reis die het volgende laat zien:
Welke fasen doorloopt Erik van begin tot eind in het kooptraject? Welke communicatie ontvangt Erik in elke fase? Wat zal Erik waarschijnlijk ervaren in elke fase (bijv. tevredenheid, verwarring)? Met welke afdelingen is Erik in gesprek?
"
Vraag,"Bespreek wat de verkooporganisatie kan doen om meer waarde te creëren tijdens de reis? Voeg suggesties toe voor nieuwe initiatieven in de customer journey.
","Bespreek wat de verkooporganisatie kan doen om meer waarde te creëren tijdens de reis? Voeg suggesties toe voor nieuwe initiatieven in de customer journey.
","Bespreek wat de verkooporganisatie kan doen om meer waarde te creëren tijdens de reis? Voeg suggesties toe voor nieuwe initiatieven in de customer journey.
"
Antwoord,"10 punten voor het visualiseren van de customer journey. 

5 punten per voorstel om toegevoegde waarde te creëren in de customer journey. Maximaal 6 suggesties.
","10 punten voor het visualiseren van de customer journey. 

5 punten per voorstel om toegevoegde waarde te creëren in de customer journey. Maximaal 6 suggesties.
","10 punten voor het visualiseren van de customer journey. 

5 punten per voorstel om toegevoegde waarde te creëren in de customer journey. Maximaal 6 suggesties.
"
