Category;ID;QDanish;QEnglish;QDutch;Points;ADanish;AEnglish;ADutch;Assessment
Chance;38;"Et salgsteam får ingen nyttig kundeinfo fra virksomhedens 
serviceteknikere. 
Drøft hvad salgschefen kan gøre?";A sales team gets no useful customer info from the company's technicians. Discuss what the sales manager can do?;Een verkoopteam krijgt geen nuttige klantinformatie van de technici. Bespreek wat de salesmanager kan doen.;0, 10;10 points;10 points;10 punten;Moderator
Chance;37;Hvad har været den sjoveste oplevelse med en kunde i dit nuværende job?;What has been the most fun experience with a customer in your current job?;Wat was de leukste ervaring met een klant in uw huidige baan?;0, 5;5 points;5 points;5 punten;Moderator
Chance;40;"En salgsmedarbejder
fortæller sin leder, at hun
er forelsket i en kollega.
Drøft hvad lederen
bør gøre?";A sales associate tells her manager that she is in love with a colleague. Discuss what the leader should do?;Een verkoopmedewerker vertelt haar manager dat ze is verliefd op een collega. Bespreek wat de manager zou moeten doen?;0, 10;;;;
Chance;39;Hvad er det første, du tænker på, når du vågner? ;What's the first thing you think of when you wake up?;Wat is het eerste waar je aan denkt als je wakker wordt?;0, 5;5 points;5 points;5 punten;Moderator
Chance;46;"Hvad er det mærkeligste
spørgsmål, du har fået
af en kunde?";What's the strangest thing Questions you have been asked by a customer?;Wat is de vreemdste vraag die je ooit hebt gekregen van een klant?;0, 5;;;;
Chance;50;"Hvad er det skøreste,
du har oplevet i dit arbejde
med salg?";What's the craziest thing, you have experienced in your work with sales?;Wat is het gekste, dat je hebt ervaren in je werk in sales?;0, 5;;;;
Chance;44;"Hvad gør dig glad
på jobbet?";What makes you happy at work?;Waar word je blij van op het werk?;0, 5;;;;
Chance;47;"Hvem ved bordet er stået
tidligst op?";Who at the table has stood At the earliest?;Wie heeft er aan tafel gestaan? Op zijn vroegst?;0, 5;;;;
Chance;42;Hvilken inspiration tager du med hjem efter denne workshop?;What inspiration takes you come home after this workshop?;Welke inspiratie neem je mee naar huis na deze workshop?;0, 10;;;;
Chance;43;Hvilket mærke blev årets bil i Danmark i 1995?;Which brand was the brand of the year car in Denmark in 1995?;Welk merk was het merk van het jaar auto in Denemarken in 1995?;0, 5;;;;
Chance;45;"Hvordan understøtter
back-office bedst dit
salgsarbejde?";How to support Back-office best your Sales work?;Hoe kan de back-office jou het beste ondersteunen in je saleswerk?;0, 10;;;;
Chance;49;"Koncentration kræver
energi. Rejs jer op.
Stræk armene så højt
I kan i 10 sekunder.";Concentration requires energy. Stand up. Stretch your arms so high I can for 10 seconds.;Concentratie vereist energie. Sta op. Strek je armen zo hoog mogelijk uit, voor 10 seconden.;0, 5;;;;
Chance;51;"Nævn navnene på dem,
som du sidder ved
bord med.";Mention their names, that you are sitting at table with.;Noem de namen, waarmee je aan zit tafel.;0, 5;;;;
Chance;41;"Nævn så mange af de syv
salgsdyder, som du kan?";Name as many of the seven sales virtues that you can?;Noem er zoveel mogelijk van de zeven verkoopdeugden die je kunt?;0, 10;;;;
